action,artist_folder,title,old_path,new_path,reason
skip_no_artist,,Bass,"/storage/emulated/0/htdocs/midisnd/midi/ASIN MIDI KARAOKE FILES/Asin - Ang Bayan Kong Sinilangan (Cotabato) 1.kar",,"no artist meta"
skip_no_artist,,untitled,"/storage/emulated/0/htdocs/midisnd/midi/ASIN MIDI KARAOKE FILES/Asin - Ang Bayan Kong Sinilangan (Cotabato) 2.MID",,"no artist meta"
skip_no_artist,,COTABATO,"/storage/emulated/0/htdocs/midisnd/midi/ASIN MIDI KARAOKE FILES/Asin - Ang Bayan Kong Sinilangan (Cotabato) 3.mid",,"no artist meta"
skip_no_artist,,"EDITED BY SID OBOG","/storage/emulated/0/htdocs/midisnd/midi/ASIN MIDI KARAOKE FILES/Asin - At Tayo'y Dahon.mid",,"no artist meta"
skip_no_artist,,KASA,"/storage/emulated/0/htdocs/midisnd/midi/ASIN MIDI KARAOKE FILES/Asin - Gising Na Kaibigan.mid",,"no artist meta"
skip_no_artist,,untitled,"/storage/emulated/0/htdocs/midisnd/midi/ASIN MIDI KARAOKE FILES/Asin - Hangin.mid",,"no artist meta"
skip_no_artist,,"HIMIG NG PAG IBIG","/storage/emulated/0/htdocs/midisnd/midi/ASIN MIDI KARAOKE FILES/Asin - Himig Ng Pag-ibig.kar",,"no artist meta"
skip_no_artist,,Bass,"/storage/emulated/0/htdocs/midisnd/midi/ASIN MIDI KARAOKE FILES/Asin - Itanong Mo Sa Mga Bata (1).kar",,"no artist meta"
would_move,JOHNNYSKI,"LAKBAY DIWA","/storage/emulated/0/htdocs/midisnd/midi/ASIN MIDI KARAOKE FILES/Asin - Lakbay Diwa.mid","/storage/emulated/0/htdocs/midisnd/JOHNNYSKI/LAKBAY DIWA - JOHNNYSKI.mid",
skip_no_artist,,untitled,"/storage/emulated/0/htdocs/midisnd/midi/ASIN MIDI KARAOKE FILES/Asin - Magnanakaw 1.mid",,"no artist meta"
skip_no_artist,,"Soft karaoke","/storage/emulated/0/htdocs/midisnd/midi/ASIN MIDI KARAOKE FILES/Asin - Magnanakaw 2.mid",,"no artist meta"
skip_no_artist,,MAGULANG,"/storage/emulated/0/htdocs/midisnd/midi/ASIN MIDI KARAOKE FILES/Asin - Magulang.mid",,"no artist meta"
skip_no_artist,,KASA,"/storage/emulated/0/htdocs/midisnd/midi/ASIN MIDI KARAOKE FILES/Asin - Masdan Mo Ang Kapaligiran.mid",,"no artist meta"
would_move,"RAYMOND B. GARSUTA",untitled,"/storage/emulated/0/htdocs/midisnd/midi/ASIN MIDI KARAOKE FILES/Asin - Medley 1.mid","/storage/emulated/0/htdocs/midisnd/RAYMOND B. GARSUTA/untitled - RAYMOND B. GARSUTA.mid",
skip_no_artist,,,"/storage/emulated/0/htdocs/midisnd/midi/ASIN MIDI KARAOKE FILES/Asin - Medley 2.mid",,"no artist meta"
skip_no_artist,,"EDITED BY SID OBOG","/storage/emulated/0/htdocs/midisnd/midi/ASIN MIDI KARAOKE FILES/Asin - Medley 3.mid",,"no artist meta"
would_move,notorazr,"Asin - Bayan Ko","/storage/emulated/0/htdocs/midisnd/midi/ASIN MIDI KARAOKE FILES/Asin - Pagbabalik (Bayan Ko) 1.mid","/storage/emulated/0/htdocs/midisnd/notorazr/Asin - Bayan Ko - notorazr.mid",
skip_no_artist,,,"/storage/emulated/0/htdocs/midisnd/midi/ASIN MIDI KARAOKE FILES/Asin - Pagbabalik (Bayan Ko) 2.mid",,"no artist meta"
skip_no_artist,,"Bayan Ko","/storage/emulated/0/htdocs/midisnd/midi/ASIN MIDI KARAOKE FILES/Asin - Pagbabalik (Bayan Ko) 3.mid",,"no artist meta"
skip_no_artist,,KASA,"/storage/emulated/0/htdocs/midisnd/midi/ASIN MIDI KARAOKE FILES/Asin - Tuldok.mid",,"no artist meta"
skip_no_artist,,"Soft karaoke",/storage/emulated/0/htdocs/midisnd/midi/bday/Happy-Birthday-To-You-4.kar,,"no artist meta"
skip_no_artist,,"Soft karaoke","/storage/emulated/0/htdocs/midisnd/midi/bday/happy birthday Gianne.kar",,"no artist meta"
skip_no_artist,,"Soft karaoke","/storage/emulated/0/htdocs/midisnd/midi/bday/happy birthday Gillian.kar",,"no artist meta"
skip_no_artist,,"Soft karaoke","/storage/emulated/0/htdocs/midisnd/midi/bday/happy birthday Gavreel.kar",,"no artist meta"
skip_no_artist,,"Soft karaoke","/storage/emulated/0/htdocs/midisnd/midi/bday/happy birthday Hanna.kar",,"no artist meta"
skip_no_artist,,"Soft karaoke","/storage/emulated/0/htdocs/midisnd/midi/bday/Happy Unggoy Gianne.kar",,"no artist meta"
skip_no_artist,,"Soft karaoke","/storage/emulated/0/htdocs/midisnd/midi/bday/Happy Unggoy Giliian.kar",,"no artist meta"
skip_no_artist,,"Soft karaoke","/storage/emulated/0/htdocs/midisnd/midi/bday/X - Traditional Songs - Happy Birthday_1.kar",,"no artist meta"
would_move,"Renz Verano","Soft Karaoke","/storage/emulated/0/htdocs/midisnd/midi/karfromFB/01-Eva Eugenio - Gulong ng palad.kar","/storage/emulated/0/htdocs/midisnd/Renz Verano/Soft Karaoke - Renz Verano.kar",
skip_no_artist,,"Himig Natin - JuanDelaCruz","/storage/emulated/0/htdocs/midisnd/midi/karfromFB/Ang Himig Natin - Juan Dela Cruz Band.kar",,"no artist meta"
would_move,Aqua,"Barbie Girl * Aqua","/storage/emulated/0/htdocs/midisnd/midi/karfromFB/Aqua - Barbie Girl.kar","/storage/emulated/0/htdocs/midisnd/Aqua/Barbie Girl Aqua - Aqua.kar",
skip_no_artist,,"Bakit Kita Mahal","/storage/emulated/0/htdocs/midisnd/midi/karfromFB/Bakit Kita Mahal- April Boy Regino.kar",,"no artist meta"
skip_no_artist,,"BAKIT LABIS KITANG MAHAL","/storage/emulated/0/htdocs/midisnd/midi/karfromFB/Bakit Labis Kitang Mahal (v2) - Boyfriends.kar",,"no artist meta"
skip_no_artist,,"BAKIT NGAYON KA LANG","/storage/emulated/0/htdocs/midisnd/midi/karfromFB/Bakit Ngayon Ka Lang - Ogie Alcasid.kar",,"no artist meta"
